date,favorites,id,isRetweet,retweets,text
1509850745000,73099,927007332743172098,false,13372,"Just gave a speech to the great men and women at Yokota Air Base in Tokyo, Japan. Leaving to see Prime Minister Abe. https://t.co/6LRAgojvDB"
1509842588000,64148,926973117708296192,false,11639,I am landing shortly. Can’t wait to be with our GREAT MILITARY. See you soon! https://t.co/AVLrrOxmm4
1509799766000,59556,926793510723796993,false,14566,Would very much appreciate Saudi Arabia doing their IPO of Aramco with the New York Stock Exchange. Important to the United States!
1509798900000,136217,926789876556500992,false,30564,"Unemployment is down to 4.1%, lowest in 17 years. 1.5 million new jobs created since I took office. Highest stock Market ever, up $5.4 trill"
1509779305000,66647,926707692395102219,false,15691,Thank you to our GREAT Military/Veterans and @PacificCommand.Remember #PearlHarbor. Remember the @USSArizona!A day I’ll never forget. https://t.co/CMkB0kTkSc
1509764840000,57770,926647019455766528,false,10268,Thank you for such a beautiful welcome Hawaii. My great honor to visit @PacificCommand upon arrival. Heading to Pearl Harbor w/ @FLOTUS now. https://t.co/6gDME9cmnS
1509749079000,75457,926580912036466690,false,10168,Getting ready to land in Hawaii. Looking so much forward to meeting with our great Military/Veterans at Pearl Harbor!
1509728099000,115338,926492915626663939,false,28875,The decision on Sergeant Bergdahl is a complete and total disgrace to our Country and to our Military.
1509726131000,56413,926484660946862085,false,12526,"JOBS, JOBS, JOBS! https://t.co/twUNktGbnb"
1509725392000,78704,926481563214376961,false,20022,"The rigged Dem Primary, one of the biggest political stories in years, got ZERO coverage on Fake News Network TV last night. Disgraceful!"
1509720356000,62592,926460439000698880,false,10817,"Just took off for ceremony @ Pearl Harbor. Will then be heading to Japan, SKorea, China, Vietnam &amp; the Philippines. Will never let you down!"
1509719395000,68245,926456409260285952,false,12831,"I always felt I would be running and winning against Bernie Sanders, not Crooked H, without cheating, I was right."
1509719314000,64586,926456069047582721,false,12460,Bernie Sanders supporters have every right to be apoplectic of the complete theft of the Dem primary by Crooked Hillary!
1509711093000,58934,926421589159182339,false,11691,"...Based on that, the Military has hit ISIS ""much harder"" over the last two days. They will pay a big price for every attack on us!"
1509710630000,47680,926419647708258304,false,11101,"ISIS just claimed the Degenerate Animal who killed, and so badly wounded, the wonderful people on the West Side, was ""their soldier."" ....."
1509710129000,85471,926417546038923264,false,22270,"Pocahontas just stated that the Democrats, lead by the legendary Crooked Hillary Clinton, rigged the Primaries! Lets go FBI &amp; Justice Dept."
1509709690000,63481,926415703476928512,false,14558,The real story on Collusion is in Donna B's new book. Crooked Hillary bought the DNC &amp; then stole the Democratic Primary from Crazy Bernie!
1509707493000,111341,926406490763784194,false,24302,"....People are angry.  At some point the Justice Department, and the FBI, must do what is right and proper. The American public deserves it!"
1509707039000,60337,926404584456773632,false,14175,"...New Donna B book says she paid for and stole the Dem Primary. What about the deleted E-mails, Uranium, Podesta, the Server, plus, plus..."
1509706667000,74562,926403023861141504,false,18856,Everybody is asking why the Justice Department (and FBI) isn't looking into all of the dishonesty going on with Crooked Hillary &amp; the Dems..
1509706311000,90816,926401530013642765,false,21489,My Twitter account was taken down for 11 minutes by a rogue employee. I guess the word must finally be getting out-and having an impact.
1509672594000,38339,926260114146889728,false,6139,I will be interviewed by @IngrahamAngle on @FoxNews at 10:00. Enjoy!
1509672408000,52842,926259330474704900,false,13071,The @TuckerCarlson opening statement about our once cherished and great FBI was so sad to watch. James Comey's leadership was a disaster!
1509670089000,75843,926249604936556545,false,19736,....This is real collusion and dishonesty. Major violation of Campaign Finance Laws and Money Laundering - where is our Justice Department?
1509669597000,68627,926247543801044993,false,18788,Donna Brazile just stated the DNC RIGGED the system to illegally steal the Primary from Bernie Sanders. Bought and paid for by Crooked H....
1509667507000,54081,926238774773862400,false,10306,"Great Tax Cut rollout today. The lobbyists are storming Capital Hill, but the Republicans will hold strong and do what is right for America!"
1509662143000,36219,926216279287042048,false,7384,"Today, it was my pleasure and great honor to announce my nomination of Jerome Powell to be the next Chairman of the @FederalReserve. https://t.co/6aDuRy3zws"
1509654798000,46567,926185468911382529,false,10915,"Broadcom's move to America=$20 BILLION of annual rev into U.S.A., $3+ BILLION/yr. in research/engineering &amp, $6 BILLION/yr. in manufacturing. https://t.co/NsJ4PtVTtl"
1509652736000,38997,926176823117074433,false,8277,"Today, we are thrilled to welcome @Broadcom CEO Hock Tan to the WH to announce he is moving their HQ’s from Singapore back to the U.S.A..... https://t.co/WrqUXBndyZ"
1509648227000,45852,926157911151214592,false,10616,Congress must end chain migration so that we can have a system that is SECURITY BASED! We need to make AMERICA SAFE! #USA🇺🇸 https://t.co/d7L1YW5iVY
1509647627000,61880,926155393490878464,false,14009,I am calling on Congress to TERMINATE the diversity visa lottery program that presents significant vulnerabilities to our national security. https://t.co/tW4wOlI4vu
1509643892000,47556,926139726129704960,false,9118,"Congratulations to the Houston @Astros, 2017 #WorldSeries Champions⚾️#HoustonStrong #EarnHistory https://t.co/BP7OEzdhFi"
1509623676000,70659,926054936718307328,false,13169,...There is also something appropriate about keeping him in the home of the horrible crime he committed. Should move fast. DEATH PENALTY!
1509623446000,58793,926053970535243777,false,10690,Would love to send the NYC terrorist to Guantanamo but statistically that process takes much longer than going through the Federal system...
1509594198000,146423,925931294705545216,false,33494,"NYC terrorist was happy as he asked to hang ISIS flag in his hospital room. He killed 8 people, badly injured 12. SHOULD GET DEATH PENALTY!"
1509592916000,33805,925925920304779264,false,6356,"Great mtg w/ @Cabinet today. Tomorrow, I will be announcing the new head of the Fed. I think you will be extremely impressed by this person! https://t.co/5ASJVLGAiG"
1509590757000,28999,925916863401480192,false,3898,"Happy birthday to @garyplayer, a truly great Champion and Person!"
1509589843000,38422,925913030159937537,false,8011,It is finally happening for our great clean coal miners! https://t.co/suAnjs6Ccz
1509589184000,89892,925910265060831232,false,17793,The United States will be immediately implementing much tougher Extreme Vetting Procedures. The safety of our citizens comes first!
1509588561000,60109,925907651350941696,false,10801,Just spoke to President Macri of Argentina about the five proud and wonderful men killed in the West Side terror attack. God be with them!
1509577406000,63857,925860866767163393,false,18037,"CHAIN MIGRATION must end now! Some people come in, and they bring their whole family with them, who can be truly evil. NOT ACCEPTABLE! https://t.co/PQGeTTdRtX"
1509573807000,29171,925845770724618240,false,5487,@SenateMajLdr @SenateGOP ...and Appeals Court Judges at a record clip! Our courts are rapidly changing for the better!
1509573799000,35622,925845735089889280,false,6571,Thanks to @SenateMajLdr McConnell and the @SenateGOP we are appointing high-quality Federal District...
